Label	Weight	Text
l_DonburiBot	1	find me a pork don
l_DonburiBot	1	how's it going?
l_DonburiBot	1	find me a fish donburi
l_DonburiBot	1	where is the closest donburi place?
l_DonburiBot	1	find me a donburi
l_DonburiBot	1	hey
l_DonburiBot	1	is there a veg don around?
l_DonburiBot	1	help
l_DonburiBot	1	i feel like having a pork don
l_DonburiBot	1	beef donburi
l_DonburiBot	1	find a don
l_DonburiBot	1	help me
l_DonburiBot	1	find a don near me
l_DonburiBot	1	find me a chicken don
l_DonburiBot	1	find a donburi
l_DonburiBot	1	find me a don
